Number of Teams,Recharge Rate,Game ID,Laser Damage,Special Damage,Map,Game Mode,Date,Player Count,Referee
,,22288,,,,,,,
2,High,22289,Normal,Normal,CTA-Joy,Normal,2019-09-09 23:42:00,8,Venture
2,High,22290,Normal,Normal,CTA-Joy,Normal,2019-09-10 00:08:00,8,Venture
2,High,22291,Normal,Normal,CTA-Joy,Normal,2019-09-10 20:41:00,4,Atomos
2,High,22292,Normal,Normal,CTA-Joy,Normal,2019-09-10 21:03:00,6,Atomos
2,High,22293,Normal,Normal,CTA-Joy,Normal,2019-09-10 21:35:00,4,Atomos
2,High,22294,Normal,Normal,CTA-Joy,Normal,2019-09-10 22:06:00,8,Venture
2,High,22295,Normal,Normal,CTA-Joy,Normal,2019-09-10 22:38:00,8,Venture
2,High,22296,Normal,Normal,CTA-Joy,Normal,2019-09-10 23:12:00,8,Referee
2,High,22297,Normal,Normal,CTA-Joy,Normal,2019-09-10 23:59:00,8,tela
2,High,22298,Normal,Normal,CTA-Joy,Normal,2019-09-11 21:01:00,6,ElAsesino
2,High,22299,Normal,Normal,CTA-Joy,Normal,2019-09-11 21:29:00,8,Atomos
2,High,22300,Normal,Normal,CTA-Joy,Normal,2019-09-11 22:03:00,8,ElAsesino
2,High,22301,Normal,Normal,CTA-Joy,Normal,2019-09-11 22:31:00,8,ElAsesino
2,High,22302,Normal,Normal,CTA-Joy,Normal,2019-09-12 21:43:00,6,Atomos
2,High,22303,Normal,Normal,CTA-Joy,Normal,2019-09-12 22:15:00,6,Atomos
2,High,22304,Normal,Normal,CTA-Joy,Normal,2019-09-12 22:41:00,8,Atomos
2,High,22305,Normal,Normal,CTA-Joy,Normal,2019-09-12 23:10:00,8,Atomos
,,22306,,,,,,,
2,High,22307,Normal,Normal,CTA-Joy,Normal,2019-09-12 23:53:00,8,paz
2,High,22308,Normal,Normal,CTA-Joy,Normal,2019-09-13 21:36:00,8,Atomos
